registrant_name,times_lobbied,avg_amount,total_amout,start_year,end_year,unique_years,policy_issue
"38 NORTH SOLUTIONS, LLC",15,0,0,2012,2018,5,wind_power
3M COMPANY,23,1083034.2173913044,24909787,2012,2016,5,wind_power
"A10 ASSOCIATES, LLC",16,0,0,2019,2021,3,wind_power
ACTE,1,60000,60000,2020,2020,1,wind_power
ADVANCED ENERGY ECONOMY,2,0,0,2014,2014,1,wind_power
AKIN GUMP STRAUSS HAUER & FELD,1,0,0,2021,2021,1,wind_power
ALCALDE & FAY,26,0,0,2010,2016,7,wind_power
ALIGNMENT GOVERNMENT STRATEGIES,12,0,0,2014,2016,3,wind_power
"ALLETE, INC",19,53000,1007000,2014,2018,5,wind_power
ALLIANCE ONE,6,0,0,2019,2020,2,wind_power
ALLIANT ENERGY CORPORATION,3,120000,360000,2020,2020,1,wind_power
"ALPINE GROUP PARTNERS, LLC.",55,0,0,2011,2021,11,wind_power
ALSTOM TRANSPORTATION INC.,1,410000,410000,2010,2010,1,wind_power
ALTERNATIVE FUELS & CHEMICALS COALITION,2,0,0,2020,2020,1,wind_power
AMEREN SERVICES,4,467500,1870000,2019,2021,2,wind_power
AMERICAN ASSOCIATION OF PORT AUTHORITIES,2,135000,270000,2014,2018,2,wind_power
AMERICAN CHEMICAL SOCIETY (ACS),7,57142.857142857145,400000,2019,2020,2,wind_power
AMERICAN CHEMISTRY COUNCIL,1,3930000,3930000,2021,2021,1,wind_power
AMERICAN CLEAN POWER ASSOCIATION,40,311325,12453000,2010,2021,10,wind_power
"AMERICAN COMMUNICATIONS GROUP, INC.",8,0,0,2009,2011,3,wind_power
AMERICAN FARM BUREAU FED,22,627985,13815670,2012,2021,7,wind_power
AMERICAN GAS ASSOCIATION,12,304000,3648000,2016,2018,3,wind_power
AMERICAN LUNG ASSOCIATION,6,45000,270000,2019,2020,2,wind_power
AMERICANS FOR PROSPERITY,6,5000,30000,2014,2015,2,wind_power
ARENTFOX SCHIFF LLP,32,0,0,2014,2021,6,wind_power
ARKEMA INC.,17,168235.29411764705,2860000,2011,2014,4,wind_power
ARNOLD & PORTER KAYE SCHOLER LLP,2,0,0,2011,2011,1,wind_power
ASHCROFT GROUP,1,0,0,2012,2012,1,wind_power
ASME,2,35000,70000,2012,2013,2,wind_power
ATC MANAGEMENT INC.,3,56666.666666666664,170000,2011,2011,1,wind_power
"AUX INITIATIVES, LLC",1,0,0,2012,2012,1,wind_power
"AVANGRID, INC.",31,164129.03225806452,5088000,2011,2021,9,wind_power
BAKER DONELSON BEARMAN CALDWELL & BERKOWITZ /THE DASCHLE GROUP,3,0,0,2010,2020,2,wind_power
BALL JANIK LLP,16,0,0,2010,2013,4,wind_power
BALLARD PARTNERS,9,0,0,2019,2021,3,wind_power
"BANNER PUBLIC AFFAIRS, LLC",1,0,0,2021,2021,1,wind_power
BATTELLE MEMORIAL INSTITUTE,5,238000,1190000,2019,2020,2,wind_power
BAYER CORPORATION (CONSOLIDATED REPORT),1,933370,933370,2010,2010,1,wind_power
BEAU BOULTER LLC,1,0,0,2010,2010,1,wind_power
"BECKER & POLIAKOFF, P.A.",2,0,0,2011,2011,1,wind_power
BEN BARNES GROUP LP,1,0,0,2010,2010,1,wind_power
BERKSHIRE HATHAWAY ENERGY (FORMERLY MIDAMERICAN ENERGY HOLDINGS COMPANY),14,301450.5,4220307,2011,2016,3,wind_power
BGR GOVERNMENT AFFAIRS,10,0,0,2019,2021,3,wind_power
BIPARTISAN POLICY CENTER ACTION,8,495000,3960000,2019,2020,2,wind_power
BLACK HILLS CORPORATION,4,20000,80000,2016,2016,1,wind_power
BLUE GREEN ALLIANCE,25,47200,1180000,2013,2021,7,wind_power
"BP AMERICA, INC",6,2045000,12270000,2012,2013,2,wind_power
BROOKFIELD POWER US ASSET MANAGEMENT LLC,2,65000,130000,2012,2020,2,wind_power
BROOKFIELD RENEWABLE ENERGY MARKETING US LLC,1,0,0,2019,2019,1,wind_power
"BROWNSTEIN HYATT FARBER SCHRECK, LLP",24,0,0,2017,2021,5,wind_power
BUCHANAN INGERSOLL & ROONEY PC,2,0,0,2017,2017,1,wind_power
