"","registrant_name","client_name","amount_reported","date_posted","filing_year","policy_issue"
"1","MS. SUZANNE EISOLD","ALCALDE & FAY (NEW MEXICO TECH UNIVERSITY)",0,2011-02-15,2011,"biofuels"
"2","SIGNAL GROUP CONSULTING, LLC","VIRENT, INC. (FKA VIRENT ENERGY SYSTEMS, INC.)",0,2011-03-24,2011,"biofuels"
"3","LOBBYIT.COM","INDEPENDENCE BIO PRODUCTS",0,2011-04-05,2011,"biofuels"
"4","MS. SUZANNE EISOLD","ALCALDE & FAY (NEW MEXICO TECH UNIVERSITY)",0,2011-04-07,2011,"biofuels"
"5","CLAUSTEN LLC","GREENWORKS HOLDINGS COMPANY",0,2011-05-05,2011,"biofuels"
"6","CODEXIS, INC.","CODEXIS, INC.",0,2011-05-13,2011,"biofuels"
"7","UNILEVER UNITED STATES, INC.","UNILEVER UNITED STATES, INC.",0,2011-05-18,2011,"biofuels"
"8","UNILEVER UNITED STATES, INC.","UNILEVER UNITED STATES, INC.",0,2011-05-18,2011,"biofuels"
"9","DOW LOHNES GOVERNMENT STRATEGIES LLC","UNION OF CONCERNED SCIENTISTS",0,2011-06-21,2011,"biofuels"
"10","GREEN CAPITOL LLC","BP BIOFUELS NORTH AMERICA LLC",0,2011-09-03,2011,"biofuels"
"11","OLSSON, FRANK, WEEDA, TERMAN & MATZ, PC","FAGEN, INC.",0,2011-10-19,2011,"biofuels"
"12","OLSSON, FRANK, WEEDA, TERMAN & MATZ, PC","SOUTH DAKOTA STATE UNIVERSITY",0,2011-10-19,2011,"biofuels"
"13","OLSSON, FRANK, WEEDA, TERMAN & MATZ, PC","ALTEN OPERATING COMPANY, LLC",0,2011-10-19,2011,"biofuels"
"14","CAPITOL PARTNERS, INC.","SUNDROP FUELS INC",0,2011-10-23,2011,"biofuels"
"15","SIGNAL GROUP CONSULTING, LLC","THE PEW CHARITABLE TRUSTS CLEAN ENERGY PROGRAM",0,2011-11-23,2011,"biofuels"
"16","SIGNAL GROUP CONSULTING, LLC","THE PEW CHARITABLE TRUSTS CLEAN ENERGY PROGRAM",0,2011-11-23,2011,"biofuels"
"17","OLSSON, FRANK, WEEDA, TERMAN & MATZ, PC","FULCRUM BIOENERGY, INC.",0,2011-12-12,2011,"biofuels"
"18","ALSTON & BIRD LLP","RENEWABLE ENERGY GROUP",0,2011-12-27,2011,"biofuels"
"19","DENNY MILLER ASSOCIATES","ENSYN CORPORATION",0,2012-01-20,2011,"biofuels"
"20","DCG PUBLIC AFFAIRS, LLC","AMERICAN CLEANING INSTITUTE",0,2012-02-01,2012,"biofuels"
"21","VAN NESS FELDMAN, LLP","WILMAR OLEO NORTH AMERICA",0,2012-04-02,2012,"biofuels"
"22","AMERICAN FUEL & PETROCHEMICAL MANUFACTURERS","AMERICAN FUEL & PETROCHEMICAL MANUFACTURERS",0,2012-04-17,2012,"biofuels"
"23","SIGNAL GROUP CONSULTING, LLC","VIRENT, INC. (FKA VIRENT ENERGY SYSTEMS, INC.)",0,2012-04-19,2011,"biofuels"
"24","SIGNAL GROUP CONSULTING, LLC","VIRENT, INC. (FKA VIRENT ENERGY SYSTEMS, INC.)",0,2012-04-19,2011,"biofuels"
"25","GRIFFIN FOSTER","STATE OF INDIANA, OFFICE OF THE GOVERNOR",0,2012-04-20,2011,"biofuels"
"26","CAPITOL PARTNERS, INC.","SUNDROP FUELS INC",0,2012-04-23,2012,"biofuels"
"27","HOLLAND & KNIGHT LLP","NESTE US, INC.",0,2012-05-15,2012,"biofuels"
