,0,1,2,3,4
c2758edb-6610-4592-960e-c349272656cc,FUEL CELL AND HYDROGEN ENERGY ASSOCIATION,FUEL CELL AND HYDROGEN ENERGY ASSOCIATION,,2011-06-01T11:12:39.337000-04:00,2011
264c5628-0e76-4d7d-9026-fea68a23c1a0,"VAN NESS FELDMAN, LLP",ARGENT MARINE COMPANIES,,2012-10-22T12:08:27.633000-04:00,2012
8914ce5d-09ec-42da-88fa-ff4f71cdacdc,HBW RESOURCES,JAX CHAMBER,,2015-01-30T00:00:00-05:00,2015
89cc991e-5f92-4bc8-8234-f324bd20d99e,"HOBART HALLAWAY & QUAYLE VENTURES, LLC","GENERAL SYNFUELS INTERNATIONAL, INC. (GSI)",,2015-04-07T09:13:54-04:00,2015
bfb7b7d6-701e-42df-bf10-8d68c9dbff5d,"DECKER GARMAN SULLIVAN AND ASSOCIATES, LLC",INNOVATION REFORM ACTION PROJECT,,2015-04-23T15:28:48-04:00,2015
d82c4478-be70-40e2-8fe6-ae5ab0d492d7,KENNETH FORSBERG,CHESAPEAKE CLIMATE ACTION NETWORK,,2015-04-24T11:31:37-04:00,2015
72e2b7dc-10cf-4c63-b2c6-a111d4ad9be8,CITIZENS' CLIMATE LOBBY,CITIZENS' CLIMATE LOBBY,,2015-08-13T17:11:06-04:00,2015
72e2b7dc-10cf-4c63-b2c6-a111d4ad9be8,CITIZENS' CLIMATE LOBBY,CITIZENS' CLIMATE LOBBY,,2015-08-13T17:11:06-04:00,2015
1f4392ff-6ab6-4612-8ed4-b719d84d61c5,"NORTH STAR STRATEGIES, LLC",ARQ,,2017-11-27T20:31:06-05:00,2017
34202ff3-dc0c-47b4-863b-aa8f40a3dc04,GREYSTONE GROUP LLC,UNIVERSITY OF NORTH DAKOTA,,2011-01-10T17:25:57.877000-05:00,2010
b9ad7d6c-741f-4c8e-a958-113eac7f45ac,CAPITOL SOLUTIONS,HYDROGEN ENERGY CALIFORNIA (HECA) (FORMERLY HYDROGEN ENERGY INTERNATIONAL LLC),,2011-01-10T16:04:20.780000-05:00,2010
548d7450-a711-4a9f-8d98-0f1b77a40b26,TEMPLE-INLAND INC.,TEMPLE-INLAND INC,85000.00,2011-01-11T16:51:49.920000-05:00,2010
07a0d6d4-5c7a-47e7-b75c-64f23c92fea2,DENNY MILLER ASSOCIATES,RAMGEN POWER SYSTEMS,,2011-01-14T09:55:20.173000-05:00,2010
3dd08c9b-1909-4c73-97b0-58e14a16dfe9,ANDREW ROBART,GAS TURBINE ASSOCIATION,,2011-01-18T11:50:09.870000-05:00,2010
b5c14a2d-cb97-402e-a43a-c6037edd32a8,UNIVERSITY OF KENTUCKY,UNIVERSITY OF KENTUCKY,80000.00,2011-01-18T15:26:00.553000-05:00,2010
8f403a4b-b8a6-46a4-96de-075efacea31a,LYONDELL CHEMICAL COMPANY,LYONDELL CHEMICAL COMPANY,290000.00,2011-01-18T16:43:38.597000-05:00,2010
c4dc36bd-58de-4a84-b9bf-af7638cf207e,"AIR TRANSPORT ASSOCIATION OF AMERICA, INC. (D/B/A AIRLINES FOR AMERICA)","AIR TRANSPORT ASSOCIATION OF AMERICA, INC. (D/B/A AIRLINES FOR AMERICA)",1090000.00,2011-01-19T12:14:40.913000-05:00,2010
