,0,1,2,3,4
3dc571e1-43f5-492e-8ffe-101c4dc47bbc,"DS2 GROUP, LLC",NUCLEAR ENERGY INSTITUTE,,2011-01-26T12:04:33.050000-05:00,2011
9ef06437-3957-498c-ac42-e069e02fe75c,"FERGUSON STRATEGIES, LLC",PUBLIC SERVICE ENTERPRISE GROUP,,2011-02-22T11:02:28.883000-05:00,2011
a2c42deb-bf14-4c63-8aed-ef8297491701,"BROWNSTEIN HYATT FARBER SCHRECK, LLP",XCEL ENERGY,,2011-03-25T12:44:58.867000-04:00,2011
18c48367-0e97-4630-8e76-c2c3ec53ba20,"KOUNTOUPES DENHAM CARR & REID, LLC",NUCLEAR ENERGY INSTITUTE (NEI),,2011-04-19T15:23:53.117000-04:00,2011
467575af-184f-4220-9aad-a0166de5d5b2,HARTWELL CAPITOL CONSULTING,EXCEL SERVICES CORPORATION,,2011-05-09T16:47:48.643000-04:00,2011
6e5f9086-6d71-4003-a05c-7019a1a48d20,"OMER F. BROWN, II LAW OFFICE",FUKUSHIMA NUCLEAR ASSISTANCE GROUP,,2011-05-09T17:16:57.470000-04:00,2011
b31d4722-b683-4da8-929e-39194de50490,HUNTINGTON INGALLS INDUSTRIES INCORPORATED,HUNTINGTON INGALLS INDUSTRIES INCORPORATED,,2011-05-13T16:01:16-04:00,2011
f0601e07-8bb5-45d0-8fd3-f63eb6bf4ad9,SONNY CALLAHAN AND ASSOCIATES,GLOBAL ENERGY,,2011-07-06T11:03:32.573000-04:00,2011
8d80bbfb-1ea7-45b7-930d-fc0e7838093f,CAPITOL SOLUTIONS,GENERAL ATOMICS,,2011-08-23T10:20:26.963000-04:00,2011
2cb21afe-1d99-4261-8a04-eae82a2fbf07,QUADRANT ASSOCIATES GROUP LLC,LIEBMAN & ASSOCIATES INC,,2012-02-01T08:25:36.887000-05:00,2012
9bd1a004-52f4-4d9c-bd55-0c857279dfad,"DS2 GROUP, LLC",ENTERGY SERVICES LLC,,2012-03-15T09:39:40.033000-04:00,2012
b0bd3f01-c443-44fb-8163-8daf7f3a9d8d,HUNTINGTON INGALLS INDUSTRIES INCORPORATED,HUNTINGTON INGALLS INDUSTRIES INCORPORATED,,2012-06-13T12:32:41.287000-04:00,2012
b0bd3f01-c443-44fb-8163-8daf7f3a9d8d,HUNTINGTON INGALLS INDUSTRIES INCORPORATED,HUNTINGTON INGALLS INDUSTRIES INCORPORATED,,2012-06-13T12:32:41.287000-04:00,2012
c1616fe9-121f-429b-90b5-612ec0c005af,FORBES-TATE,GENERAL ATOMICS,,2012-10-09T13:47:57.317000-04:00,2012
78a0511c-2915-4d27-9399-770b2aa2debf,PRIME POLICY GROUP,"MITSUBISHI NUCLEAR ENERGY SYSTEMS, INC.",,2012-10-25T16:20:10.147000-04:00,2012
942ab74d-a8f0-4b7f-8697-3aa61c0e5a3f,MICHAEL L. TINER,NPLMCC--NUCLEAR POWER LABOR-MANAGEMENT COOPERATION COMMITTEE,,2013-02-26T18:00:01.883000-05:00,2013
ff606beb-6c0c-4371-9a33-5c9206afa56b,BEVERLY MARSHALL,NUCLEAR ENERGY INSTITUTE,,2013-03-11T17:59:49.677000-04:00,2013
675b47ae-ed32-49fa-b962-ffe7eb48ff2d,FORBES-TATE,SCANA CORPORATION,,2013-04-22T18:21:14.603000-04:00,2013
2c261938-5c42-4c0f-a7a8-5982ef40d806,HUNTINGTON INGALLS INDUSTRIES INCORPORATED,HUNTINGTON INGALLS INDUSTRIES INCORPORATED,,2013-05-08T08:03:13.583000-04:00,2013
08b67240-fc30-4ee9-b6d5-2e35d88eea06,BUTTERFIELD EVANS & ASSOCIATES LLC,TERRAPOWER LLC,,2013-08-20T19:00:01.287000-04:00,2013
9e4eca16-4b5d-463b-9e6e-d27e749c3556,"GOVERNMENTAL STRATEGIES, INC.",NUCLEAR ENERGY INSTITUTE,,2013-09-09T19:00:03.623000-04:00,2013
