,0,1,2,3,4
ffe3e6a4-fc41-4548-b2e7-1be363708985,JOHN T. O'ROURKE,"AMERESCO, INC.",,2011-01-06T18:27:21.557000-05:00,2010
34f1e67a-f878-4905-b4ad-d4805eb305b2,"BRIGHTSOURCE ENERGY, INC.","BRIGHTSOURCE ENERGY, INC.",,2011-01-14T13:43:49.007000-05:00,2010
9ef06437-3957-498c-ac42-e069e02fe75c,"FERGUSON STRATEGIES, LLC",PUBLIC SERVICE ENTERPRISE GROUP,,2011-02-22T11:02:28.883000-05:00,2011
7b13621b-d934-4d13-a648-091a4a31f561,CAPITOL HILL CONSULTING GROUP,NATIONAL ALLIANCE OF FOREST OWNERS,,2011-02-22T12:23:33.100000-05:00,2011
e25af0aa-77f4-4daa-ae4f-ce33b4627901,"FERGUSON STRATEGIES, LLC",LIGHTENING ENERGY,,2011-02-28T16:57:48.690000-05:00,2011
033d6bb5-7f43-4ac2-ad4a-891261e5f8e4,ENVIRONMENTAL LAW AND POLICY CENTER,ENVIRONMENTAL LAW AND POLICY CENTER,,2011-03-03T18:16:20.280000-05:00,2011
93eee3ba-9b4a-4f39-8581-acd11292f9c9,"LAROCCO & ASSOCIATES, INC.","U.S. GEOTHERMAL, INC.",,2011-03-07T14:34:59.843000-05:00,2011
1d325143-5842-47bc-95d9-dd16a71faeb2,AMERICAN FOREST FOUNDATION,AMERICAN FOREST FOUNDATION,,2011-03-23T20:06:08.580000-04:00,2011
1d325143-5842-47bc-95d9-dd16a71faeb2,AMERICAN FOREST FOUNDATION,AMERICAN FOREST FOUNDATION,,2011-03-23T20:06:08.580000-04:00,2011
8f0fcadd-3c47-4e8d-b8a6-0db8ccae709b,BLUE TUSK COMMUNICATIONS,ERICKSON ENERGY SYSTEMS,,2011-03-30T12:42:12.693000-04:00,2011
cd2a98a9-464b-4b02-b20f-347f8b0545be,"SPECTRUM CONSULTING GROUP, LLC",STATE FAIR COMMUNITY COLLEGE,,2011-03-30T16:25:31.257000-04:00,2011
9d110028-4fb6-45f5-b941-acda7e5f09bc,OGILVY GOVERNMENT RELATIONS,CLEAN LINE ENERGY PARTNERS,,2011-04-04T09:59:45.897000-04:00,2011
3da5f7b3-fe90-40c0-bfee-a4ed57e66d3a,HOLLAND & KNIGHT LLP,"CIMA NANOTECH, INC.",,2011-04-04T12:50:22.330000-04:00,2011
1e5ce02e-f429-4974-9c1a-9479baf85c08,"ENEL NORTH AMERICA, INC. AND ITS AFFILIATES",ENEL NORTH AMERICA INC AND ITS AFFILIATES,,2011-04-13T11:55:36.020000-04:00,2009
ec143575-c720-4c49-ae34-4d6d92a76b4a,SC PARTNERS LLC,"SAGE ELECTROCHROMICS, INC.",,2011-04-18T09:43:26.517000-04:00,2011
31950f0f-afc6-4ed5-9af1-cd2a8b14477c,NATIONAL ENVIRONMENTAL STRATEGIES,GEOMETWATCH,,2011-04-18T16:06:28.577000-04:00,2011
b5cd9fed-e104-42d0-80c1-98552a600617,"VAN HEUVELEN STRATEGIES, LLC",TERRA-GEN POWER,,2011-04-19T10:39:35.927000-04:00,2010
5a241866-4bce-47c4-bd3d-e108018be3f1,"BARNES & THORNBURG, LLP",JLN SOLAR,,2011-04-20T01:34:55.123000-04:00,2010
ddde19b3-dd54-4a6c-a6ed-3e01aac9b20b,"RYAN MACKINNON VASAPOLI AND BERZOK, LLP",NEXTERA ENERGY INC.,,2011-04-20T16:36:15.237000-04:00,2011
0803ad15-ee33-4364-a6bb-e1f4af03304d,KELLEY DRYE & WARREN LLP,LOW CARBON SYNTHETIC FUELS ASSOCIATION,,2011-04-28T11:48:16.337000-04:00,2011
ccec3d15-9dbd-4b9a-8785-1870222a914c,WASHINGTON2 ADVOCATES,PUGET SOUND ENERGY,,2011-05-24T23:55:45.317000-04:00,2011
c2758edb-6610-4592-960e-c349272656cc,FUEL CELL AND HYDROGEN ENERGY ASSOCIATION,FUEL CELL AND HYDROGEN ENERGY ASSOCIATION,,2011-06-01T11:12:39.337000-04:00,2011
c2758edb-6610-4592-960e-c349272656cc,FUEL CELL AND HYDROGEN ENERGY ASSOCIATION,FUEL CELL AND HYDROGEN ENERGY ASSOCIATION,,2011-06-01T11:12:39.337000-04:00,2011
4484f8b3-769a-4f00-8eeb-ae91475ed3bc,"GREENBERG TRAURIG, LLP",EL PASO ELECTRIC,,2011-06-28T11:22:13.733000-04:00,2011
1c0f2112-57ef-4e1a-a3ed-f9300198d4b1,"BECKER & POLIAKOFF, P.A.","APIA XXI ENGINEERING CONSULTING, INC.",,2011-06-30T15:59:27.593000-04:00,2011
947a1822-265d-4881-8c2a-2072b8aca927,"OLSSON, FRANK, WEEDA, TERMAN & MATZ, PC",RAVEN INDUSTRIES,,2011-07-08T12:07:23.807000-04:00,2011
fb8fcf5e-3e68-45cb-b480-0857de2e5c8d,"ML STRATEGIES, LLC","AMONIX, INC.",,2011-07-12T16:20:21.033000-04:00,2011
63e01f2b-9398-4dd4-94bd-630c28376b19,CAPITOL COUNSEL LLC,RENEWABLES FOR PUBLICLY TRADED PARTNERSHIPS GROUP,,2011-07-15T14:12:31.563000-04:00,2011
904673c5-38b6-4ddc-8b49-657efff18e99,AMERICAN CAPITOL GROUP,AMERICAN COALITION FOR ETHANOL,,2011-07-22T12:15:18.477000-04:00,2011
63211f5b-83af-447e-b668-6915235a34e1,NAVITAS STRATEGIES (SOLE PROPRIETORSHIP),PNM RESOURCES,,2011-07-29T17:58:57.243000-04:00,2011
63211f5b-83af-447e-b668-6915235a34e1,NAVITAS STRATEGIES (SOLE PROPRIETORSHIP),PNM RESOURCES,,2011-07-29T17:58:57.243000-04:00,2011
191e0ceb-1b8b-4008-b5f6-1f33ec3bec28,"BRIGHTSOURCE ENERGY, INC.","BRIGHTSOURCE ENERGY, INC.",,2011-08-01T14:57:11.070000-04:00,2010
e7b6eb35-46c8-44db-a5f0-a94782e27345,CAPITOL COUNSEL LLC,AMERICAN WIND ENERGY ASSOCIATION,,2011-09-30T09:57:37.813000-04:00,2011
3188134f-5c0c-4edd-98a5-52408f03a2d0,"ML STRATEGIES, LLC",EAGLE CREEK RENEWABLE ENERGY,,2011-10-03T09:23:22.427000-04:00,2011
1c116812-2b46-4d29-92f5-37e46e490b95,NORTHWIND STRATEGIES,NORTHWIND STRATEGIES,,2011-10-03T10:10:31.800000-04:00,2011
84354928-bdea-4130-a217-11990db25319,NORTHWIND STRATEGIES,ANBARIC TRANSMISSION HOLDING COMPANY,,2011-10-04T14:06:36-04:00,2011
cd551a02-66b3-458c-a122-5d5c6cdb3473,"TREFOIL SOLUTIONS, INC",WASTE MANGEMENT,,2011-10-14T13:49:36.117000-04:00,2011
c6973e59-4db4-4ee5-8e9c-a823ae4ed843,CAPITAL TECHNOLOGY GROUP,"TECHNIKON, INC.",,2011-10-14T17:04:21.343000-04:00,2011
ede57c2f-5a36-4ab4-b81b-b1c97cfa0003,"OLSSON, FRANK, WEEDA, TERMAN & MATZ, PC","FAGEN, INC.",,2011-10-19T17:24:48.757000-04:00,2011
73d0d122-c50b-40f6-ae26-7ecb384d84a9,"CAPITOL PARTNERS, INC.",SUNDROP FUELS INC,,2011-10-23T11:23:21.780000-04:00,2011
b455ef1a-e18d-475a-9b74-5ec40c08936c,NORTHWESTERN CORPORATION DBA NORTHWESTERN ENERGY,NORTHWESTERN CORPORATION DBA NORTHWESTERN ENERGY,,2011-10-31T17:11:25.527000-04:00,2011
b455ef1a-e18d-475a-9b74-5ec40c08936c,NORTHWESTERN CORPORATION DBA NORTHWESTERN ENERGY,NORTHWESTERN CORPORATION DBA NORTHWESTERN ENERGY,,2011-10-31T17:11:25.527000-04:00,2011
d6fd2e7c-eb97-4b89-847c-b3081ac31b1d,NORTHWESTERN CORPORATION DBA NORTHWESTERN ENERGY,NORTHWESTERN CORPORATION DBA NORTHWESTERN ENERGY,,2011-11-02T15:56:27.807000-04:00,2011
dc4e97e2-65ee-454a-9050-f3e879ef63e1,SCHNEIDER ELECTRIC,SCHNEIDER ELECTRIC,,2011-11-18T10:48:15-05:00,2011
bebea171-2523-46e0-a132-33e4933d9b77,"ANNDYL POLICY GROUP, LLC","HYDRO GREEN ENERGY, LLC",,2012-01-04T12:22:58-05:00,2011
cef3aa1b-127e-46b0-b7d6-f6b71c753767,POLSINELLI PC,"TRADEWIND ENERGY, LLC",,2012-01-19T12:04:45-05:00,2012
0647020a-991b-44de-b175-2755dbb39ea6,TURNER GOVERNMENT & PUBLIC AFFAIRS,350 GREEN,,2012-01-19T12:05:21-05:00,2011
581cf4bf-ab6e-407b-b052-247eddef9b03,SUSTAINABLE STRATEGIES DC,"THE FERGUSON GROUP, ON BEHALF OF CLIMATE COMMUNITIES",,2012-01-26T15:26:04.643000-05:00,2011
2cb21afe-1d99-4261-8a04-eae82a2fbf07,QUADRANT ASSOCIATES GROUP LLC,LIEBMAN & ASSOCIATES INC,,2012-02-01T08:25:36.887000-05:00,2012
5395b3cc-a08e-46c1-adeb-583e09e00fbb,"SIGNAL GROUP CONSULTING, LLC","SOLAZYME, INC.",,2012-03-07T18:30:56.920000-05:00,2012
2a142eb1-3036-416a-9b5c-b6b1e3645fc9,MCDERMOTT WILL & EMERY LLP,HUALAPAI NATION,,2012-03-22T14:47:16.480000-04:00,2012
f372f891-6a26-4a73-a74b-a6843eefd94c,ABENGOA SOLAR LLC,ABENGOA SOLAR LLC,,2012-04-02T17:06:04.603000-04:00,2012
83be3210-74c2-4520-9d6a-9b5915548667,BLACK HILLS CORPORATION,BLACK HILLS CORPORATION,,2012-04-11T19:25:39.723000-04:00,2012
83be3210-74c2-4520-9d6a-9b5915548667,BLACK HILLS CORPORATION,BLACK HILLS CORPORATION,,2012-04-11T19:25:39.723000-04:00,2012
4b118bdf-8405-4a75-bef9-7997015f3b86,ADROIT ADVOCACY LLC,NATIONAL PARKS CONSERVATION ASSOCIATION,,2012-04-12T11:20:50.140000-04:00,2012
4b39948e-14ee-4348-aa42-dea60278e219,GDS STRATEGIES LLC,CAPITOL COUNSEL LLC,,2012-04-13T10:24:05.200000-04:00,2012
ee2877bc-167d-4f5b-bcc0-61f5611d2de6,"GREENBERG TRAURIG, LLP",REENERGY HOLDINGS LLC,,2012-04-20T17:45:46.417000-04:00,2012
62c50857-e375-4feb-92ea-72863db7ffc3,AMERICAN FOREST FOUNDATION,AMERICAN FOREST FOUNDATION,,2012-04-23T12:04:44.977000-04:00,2012
62c50857-e375-4feb-92ea-72863db7ffc3,AMERICAN FOREST FOUNDATION,AMERICAN FOREST FOUNDATION,,2012-04-23T12:04:44.977000-04:00,2012
6e5eac0d-a8d0-45f8-a248-c42b2f6ef589,"CHAMBERS, CONLON & HARTWELL, LLC","WESTERN PLAINS ENERGY, LLC",,2012-05-08T10:24:23.117000-04:00,2012
9fb839f4-d4dd-4f2e-8a9b-82db535e5dab,"CHAMBERS, CONLON & HARTWELL, LLC",RIVERBLUFF STRATEGIES,,2012-05-08T10:29:23.760000-04:00,2012
af576244-51bc-4f10-9f0d-5396bf70c54b,"BECKER & POLIAKOFF, P.A.",SAFREMA ENERGY,,2012-07-12T09:23:50.340000-04:00,2012
9f68b49e-83cf-488b-b60b-948d1ec6ff83,LENNOX INTERNATIONAL INC.,LENNOX INTERNATIONAL INC.,,2012-07-13T12:44:16.540000-04:00,2012
fdc2cdb2-e8f2-4b66-b2df-385cb1d8b9ac,"SIGNAL GROUP CONSULTING, LLC","GOLDWIND USA, INC.",,2012-07-19T10:46:20.297000-04:00,2012
7a8047bd-43c0-44a4-b88c-db6df99d48a0,GDS STRATEGIES LLC,CAPITOL COUNSEL ON BEHALF OF RENEWABLES FOR PUBLICLY TRADED PARTNERSHIPS GROUP,,2012-07-18T18:18:57.980000-04:00,2012
45c0c714-9a71-4540-86bb-fb4dd801568e,BUTZEL LONG TIGHE PATTON PLLC,"MONTAUK ENERGY HOLDINGS, LLC",,2012-07-19T15:24:58.743000-04:00,2012
82a54b16-c683-4ea5-9c62-b4a245c1185b,BUTZEL LONG TIGHE PATTON PLLC,"MONTAUK ENERGY HOLDINGS, LLC",,2012-07-20T12:21:57.790000-04:00,2012
7af5b89a-4adc-4efe-bcaa-78296c605c92,"AVANGRID, INC.",AVANGRID INC,,2012-07-23T14:31:33.683000-04:00,2012
d3ca9a31-6499-43ee-abda-70a72c97feb4,"ML STRATEGIES, LLC","TERRABON OPERATING COMPANY, INC.",,2012-08-02T11:45:55.017000-04:00,2012
d3ca9a31-6499-43ee-abda-70a72c97feb4,"ML STRATEGIES, LLC","TERRABON OPERATING COMPANY, INC.",,2012-08-02T11:45:55.017000-04:00,2012
93e73c4b-fe21-44a0-b684-6d5cdfdefc19,QUINN THOMAS PUBLIC AFFAIRS,ENTIV ORGANIC ENERGY LLC,,2012-08-14T10:25:48.727000-04:00,2012
8556614c-6c9b-4765-9e92-024ab1666596,DALEY POLICY GROUP,HYDROGEN ENERGY SYSTEM LL,,2012-08-23T11:50:20.490000-04:00,2012
cc9aca4a-551c-4687-ae12-0676b5a13b2c,MR. JAIME STEVE,"INVENERGY, LLC",,2012-10-15T15:27:56.217000-04:00,2009
53ca0129-94e8-4667-b90c-b68c4fa16ea6,"KADESH & ASSOCIATES, LLC","CHUCKWALLA FARM LAND, LLC",,2012-10-16T10:16:36.577000-04:00,2012
a2703fc3-9ed7-4298-b1a4-066f2f4dff0d,THE ENGAGING COMPANY,SUNWIZE TECHNOLOGIES,,2012-10-17T13:31:25.687000-04:00,2012
2da017e4-0f08-440a-9c72-93037e5bf63c,"PODESTA GROUP, INC.","REC SILICON, INC.",,2012-10-26T15:25:54.757000-04:00,2012
7fcbe213-6eda-46e3-9f32-5249c90f0057,O'NEILL AND ASSOCIATES,KANSAS GREEN ENERGY LLC,,2013-01-17T17:02:55.350000-05:00,2012
aff9f057-c520-4160-b0a8-c80ae8b54387,KCOMM,MONTAUK ENERGY,,2013-02-07T23:28:35.920000-05:00,2013
464574e1-b807-411c-a47a-c8548f6ed8b1,"LAROCCO & ASSOCIATES, INC.","U.S. GEOTHERMAL, INC.",,2013-02-19T07:59:22.943000-05:00,2013
500d4dfe-da08-42ec-bab3-298624dae4b8,GREEN CAPITOL LLC,NEXSTEPPE,,2013-02-25T07:56:16.557000-05:00,2013
0bd41148-881d-4300-9113-38c65ba7e22c,"THE LIVINGSTON GROUP, LLC",SADER POWER ENTERPRISES LLC,,2013-03-18T13:00:05.040000-04:00,2013
