,0,1,2,3
0e78e39b-7bd7-480a-91fe-a4567fec0165,FOLEY & LARDNER LLP,,2011-07-13T17:19:13.197000-04:00,2011
431cfe11-ad03-46ff-8998-79a72d41a792,ACT FOR AMERICA,,2020-06-01T09:59:27-04:00,2020
ce99319c-fd77-4fcb-8833-b1830b0b766c,FEDERATION FOR AMERICAN IMMIGRATION REFORM,60000.00,2011-01-18T15:29:20.837000-05:00,2010
187ad0af-3c50-4a3e-90a0-66578b3dbe64,AFL-CIO,700000.00,2011-01-19T16:00:15.503000-05:00,2010
bfa5cef9-a3a8-4a98-932c-ea505bf74943,AMERICAN JEWISH COMMITTEE,40000.00,2011-04-15T14:39:12.103000-04:00,2011
69fb9664-1bd9-45ba-ae46-8e8f9ba51230,NETWORK LOBBY FOR CATHOLIC SOCIAL JUSTICE,75000.00,2011-04-20T14:24:21.427000-04:00,2011
5146cf19-91f7-4b5b-97c1-745ac10fe5a0,AMERICAN CIVIL LIBERTIES UNION,315140.00,2011-04-20T17:03:24.567000-04:00,2011
9bd9fec6-1960-4cb4-bff7-8a8651bd8c8a,NATIONAL ADVOCACY CENTER OF THE SISTERS OF THE GOOD SHEPHERD,,2011-06-27T16:48:31.913000-04:00,2011
ac215ea1-1a6a-4576-a941-6c25e7144a32,NETWORK LOBBY FOR CATHOLIC SOCIAL JUSTICE,75000.00,2011-07-16T17:00:09.250000-04:00,2011
79099650-2340-4a6a-b04e-1723fc2fb739,FOLEY & LARDNER LLP,,2011-07-19T17:55:31.333000-04:00,2011
20134bf1-8ae7-4311-bc4d-5d3192b4b2fb,FOLEY & LARDNER LLP,,2011-10-14T15:44:22.177000-04:00,2011
0512ebc6-3cc0-41c3-8a11-2918cfecd472,"LIONEL ""LEO"" AGUIRRE",,2011-10-20T10:45:35.183000-04:00,2011
6e7c37f0-5982-4d09-95d4-1d0c034fa6a2,AMERICAN CIVIL LIBERTIES UNION,328217.50,2011-10-20T18:28:15.047000-04:00,2011
2be37ce4-7a2f-4de1-a595-205a0834419c,FOLEY & LARDNER LLP,,2012-01-18T11:46:34-05:00,2011
0c28ccc3-b348-4697-a361-2cb6122cbb18,AMERICAN JEWISH COMMITTEE,30000.00,2012-01-20T16:34:47.067000-05:00,2011
6afe6a7a-4f8b-4a0f-a77b-e392fdba2d28,NETWORK LOBBY FOR CATHOLIC SOCIAL JUSTICE,75000.00,2012-01-20T17:50:36.237000-05:00,2011
8b391859-83be-4c18-96e6-03f3588247df,"LIONEL ""LEO"" AGUIRRE",,2012-01-20T23:43:24.837000-05:00,2011
0d198cc4-3157-433f-bc2f-2b99462c2044,NATIONAL EMPLOYMENT LAW PROJECT,25000.00,2012-04-05T10:53:19.633000-04:00,2012
b93b99a6-3d8c-4390-bd42-3eb36ec43298,FOLEY & LARDNER LLP,,2012-04-18T14:19:06.230000-04:00,2012
a88dd1f2-f867-47cf-8fa1-2a6fc214fa05,NETWORK LOBBY FOR CATHOLIC SOCIAL JUSTICE,75000.00,2012-04-20T13:57:38.317000-04:00,2012
42db7ffc-a206-4ca2-8f07-e162dfa7770f,AMERICAN JEWISH COMMITTEE,30000.00,2012-04-20T16:33:24.270000-04:00,2012
a604ba2a-0291-4fb5-b31c-f5b4ff1fb42b,"LIONEL ""LEO"" AGUIRRE",,2012-04-20T21:34:29.097000-04:00,2012
05aa1c41-a745-479b-8eb8-3bd9b6df5e1f,UNIVERSITY OF CALIFORNIA,270000.00,2012-07-19T16:21:54.570000-04:00,2012
66d4d423-3822-4236-86bc-3f5b5a23ef29,FOLEY & LARDNER LLP,,2012-07-20T12:08:48.673000-04:00,2012
05560ba2-7013-44e6-b2c9-b653a0b8a6bf,AMERICAN JEWISH COMMITTEE,50000.00,2012-07-20T16:19:56.187000-04:00,2012
f7df81bb-c57f-4d8b-ba22-daa55f6b63e4,"LIONEL ""LEO"" AGUIRRE",,2012-07-20T18:01:51.367000-04:00,2012
