,0,1,2,3,4
6228f609-9841-46e3-aec5-81c9a6ade350,NELSON MULLINS RILEY & SCARBOROUGH,PI MOBILITY,,2011-04-08T09:45:07.023000-04:00,2011
9a7c7959-d528-4af8-9ba7-3dfa8219efe9,EMPIRE DISTRICT ELECTRIC COMPANY,EMPIRE DISTRICT ELECTRIC COMPANY,,2011-04-20T15:28:40.647000-04:00,2008
69c74edc-05b7-4fdf-89c4-69285c552d9c,RUSSELL PAUL,THE PEW CHARITABLE TRUSTS,,2011-06-20T11:18:32.517000-04:00,2011
7123c2ce-47f7-42ae-b956-a63f9908954f,ARENTFOX SCHIFF LLP,EVOLVE MOTORCYCLES LLC,,2011-07-07T09:58:27.033000-04:00,2011
fa4e13e0-81e8-4789-ae99-58d03127cbed,NOSSAMAN LLP,GENERAL ELECTRIC COMPANY,,2011-07-20T13:07:54.907000-04:00,2011
8743bbd5-cc78-4063-a3ef-a24a022cf974,"SIGNAL GROUP CONSULTING, LLC",THE PEW CHARITABLE TRUSTS CLEAN ENERGY PROGRAM,,2011-11-23T12:45:18-05:00,2011
fa258870-9e53-401f-865d-7673058d7977,"GREENBERG TRAURIG, LLP","CAR CHARGING, INC.",,2012-03-07T15:41:47.207000-05:00,2012
e2b32116-8db0-4b98-871f-c3c990dab6d9,CAPITOL COUNSEL LLC,EDISON ELECTRIC INSTITUTE,,2012-03-30T15:54:23.267000-04:00,2012
0d3d53db-bb74-41f0-af70-10aad0f35b57,BALL JANIK LLP,DRIVE OREGON,,2013-07-24T18:00:35.780000-04:00,2013
e5d2a650-9813-49a4-97bd-c9820a942d27,"DOWNEY MCGRATH GROUP, INC.",ELECTRIFICATION COALITION ALLIANCE,,2013-07-30T18:00:17.743000-04:00,2013
737f2208-840f-4592-8f07-e539825a1e05,MOMENTUM DYNAMICS,MOMENTUM DYNAMICS,,2014-06-24T13:00:04.057000-04:00,2013
737f2208-840f-4592-8f07-e539825a1e05,MOMENTUM DYNAMICS,MOMENTUM DYNAMICS,,2014-06-24T13:00:04.057000-04:00,2013
49828fe5-454f-4c2f-b37b-47a382723385,PILLSBURY WINTHROP SHAW PITTMAN LLP,LORD CORPORATION,,2014-07-18T00:00:00-04:00,2014
cfa59d51-1c3e-4f11-b6be-108761ecc781,SUMMIT STRATEGIES GOVERNMENT AFFAIRS LLC,DRIVE OREGON,,2015-03-03T16:55:05-05:00,2015
1bd709b6-6f63-40c7-9851-0b145a0d9d9b,"GOVBIZ ADVANTAGE, INC.",POLARIS INDUSTRIES,,2015-04-10T18:18:36-04:00,2015
afa6435a-661f-4ac1-b5c6-e30a3316a9d3,"D SQUARED TAX STRATEGIES, LLC","GOVBIZ ADVANTAGE, INC. ON BEHALF OF POLARIS INDUSTRIES",,2015-04-19T14:17:03-04:00,2015
78714be0-5d34-470a-8e93-210768e0919a,"GOVBIZ ADVANTAGE, INC.","ARCIMOTO, INC",,2016-08-08T10:59:09-04:00,2016
602fb2de-7a6f-4bd5-88bf-c7d8e1c2111a,ECONOMIC POLICY STRATEGIES,ELECTRIC DRIVE TRANSPORTATION ASSOCIATION,,2016-11-11T10:44:40-05:00,2016
0e01b706-2b5e-4927-8cae-e909e84497f6,"D SQUARED TAX STRATEGIES, LLC",POLARIS INDUSTRIES,,2017-04-24T12:59:29-04:00,2017
43a923d3-d32e-4134-8699-f3c03626e2f3,"DS2 GROUP, LLC",GENERAL MOTORS COMPANY,,2018-03-20T20:48:18-04:00,2018
80a76c18-6662-438a-b8af-599d6c693033,MUNK POLICY & LAW,RIVIAN AUTOMOTIVE LLC,,2019-01-10T20:11:49-05:00,2018
50384943-1801-4b00-a688-3b4e0d52f3ed,S-3 GROUP,"KARSAN USA, LLC",,2019-04-22T14:31:35-04:00,2019
8d589e23-041d-4d18-8f05-7056b077c084,"DUPONT DE NEMOURS, INC.","DUPONT DE NEMOURS, INC.",,2019-06-19T09:22:36-04:00,2019
af15a994-1138-43c3-9334-e6ce56ab8f23,"ELEVATE GOVERNMENT AFFAIRS, LLC",KITTY HAWK CORPORATION,,2019-10-10T20:51:15-04:00,2019
b077181f-03df-4b95-b9ae-a0f5183e21a7,HOGAN LOVELLS US LLP,NISSAN NORTH AMERICA,,2011-01-06T16:35:41.803000-05:00,2010
5845e38f-44ac-4051-8b32-cf36ac459dfd,POLSINELLI PC,DOMESTIC ENERGY PRODUCERS ALLIANCE,,2011-01-11T16:18:59.530000-05:00,2010
72e76c83-b835-472e-837e-1844d9a6ff03,EARTHJUSTICE,EARTHJUSTICE,78796.14,2011-01-13T08:44:28.903000-05:00,2010
425de6eb-ca1c-4fb1-b335-6ce4d4d8d230,THE WASHINGTON TAX & PUBLIC POLICY GROUP (FORMERLY THE WASHINGTON TAX GROUP),"AEROVIRONMENT, INC.",,2011-01-14T10:11:32.757000-05:00,2010
8418d5ec-f9d6-46c4-a66b-ebd2179d554c,THE WASHINGTON TAX & PUBLIC POLICY GROUP (FORMERLY THE WASHINGTON TAX GROUP),BATTERY ELECTRIC VEHICLE COALITION,,2011-01-14T10:21:50.227000-05:00,2010
