,0,1,2,3,4
591a887a-5a6d-4af7-af28-17c0b6a356ce,SCHIFF & HARDIN LLP,EAST KENTUCKY POWER COOPERATIVE,,2011-04-01T19:12:01.400000-04:00,2011
bfabaea5-9e71-47cb-a7df-e4c000bc8f39,"ANNDYL POLICY GROUP, LLC",NATIONAL HYDROPOWER ASSOCIATION,,2011-08-12T14:02:16.487000-04:00,2011
bebea171-2523-46e0-a132-33e4933d9b77,"ANNDYL POLICY GROUP, LLC","HYDRO GREEN ENERGY, LLC",,2012-01-04T12:22:58-05:00,2011
3316068c-75a7-43e4-8f1f-b0265eb06a4d,"MOFFETT GROUP, LLC","ENDURING HYDRO, LLC",,2012-06-21T11:42:24.340000-04:00,2012
229dca5d-c492-4ed7-bae1-ebc17047255c,THOMPSON CONSULTING GROUP,OKANOGAN PUD,,2013-04-18T18:07:37.107000-04:00,2013
cbd61ce2-0308-4373-8d3b-07f31e9f7660,"GREEN STRATEGIES, INC.",NATIONAL HYDROPOWER ASSOCIATION,,2013-05-07T13:57:02.237000-04:00,2013
4c1a281f-23ee-49a1-b396-3b921a3664e7,"ENS RESOURCES, INC.",PLACER COUNTY WATER AGENCY,,2014-07-17T09:42:13-04:00,2014
1f7ab13a-03b9-4813-bd2f-25eefa890c86,HOLLAND & KNIGHT LLP,"SAM RAYBURN G&T COOPERATIVE, INC.",,2014-08-14T00:00:00-04:00,2014
70acc7bc-6031-4e5c-bc4c-6469236977cb,HOLLAND & KNIGHT LLP,"TEX-LA ELECTRIC COOPERATIVE OF TEXAS, INC.",,2014-08-14T00:00:00-04:00,2014
15544b25-7927-4609-8a1e-cb026d5b2766,HOLLAND & KNIGHT LLP,"NORTHEAST TEXAS ELECTRIC COOPERATIVE OF TEXAS, INC.",,2014-08-14T00:00:00-04:00,2014
88ad7215-806e-43b3-95e1-e5374b29512f,HOLLAND & KNIGHT LLP,EAST TEXAS ELECTRIC COOPERATIVE,,2014-08-14T00:00:00-04:00,2014
95dabfb4-d831-4f76-a8b5-af91fcfeab61,"VAN NESS FELDMAN, LLP",NATIONAL HYDROPOWER ASSOCIATION,,2015-04-17T16:40:19-04:00,2015
