,0,1,2,3,4
9d9114ee-7a79-41b1-aebd-79dc0a395e5b,"THE LIVINGSTON GROUP, LLC","INTERCULTURE, INC.",,2011-02-16T14:36:13.667000-05:00,2011
6476d23f-233b-4064-9a97-c575e181f226,"STRATEGIC PARTNERS, INC.",THE LIVINGSTON GROUP (ON BEHALF OF INTERCULTURE/SOITEC),,2011-02-16T16:44:29.410000-05:00,2011
d165f2f7-76b7-4175-a5f3-ff57e17c8289,"MADDOX STRATEGIES, LLC",LIVINGSTON GROUP (ON BEHALF OF SOITEC),,2011-03-17T17:47:58.860000-04:00,2011
fed1fb22-df17-4cb7-82c6-9f8ae4ac9421,SC PARTNERS LLC,"K ROAD POWER MANAGEMENT, LLC",,2011-04-18T09:35:05.843000-04:00,2011
cc519086-e6b1-4ac2-bcb3-eb249901c695,"STATE STREET PARTNERS, L.L.C.","KDC SOLAR, L.L.C.",,2011-05-17T16:42:27.193000-04:00,2011
bc6a42ce-eb30-496d-8fbd-efdc63a24058,"O'NEILL, ATHY & CASEY, P.C.",ABENGOA SOLAR INC.,,2011-05-19T12:05:48.463000-04:00,2011
33e1435f-0789-407e-a706-ec3cc880afa2,"BOCKORNY GROUP, INC.",O'NEILL ATHY & CASEY ON BEHALF OF ABENGOA SOLAR,,2011-05-19T14:38:05.367000-04:00,2011
fb8fcf5e-3e68-45cb-b480-0857de2e5c8d,"ML STRATEGIES, LLC","AMONIX, INC.",,2011-07-12T16:20:21.033000-04:00,2011
840336c8-fe09-4528-a7e1-66d81ea8c36c,"CANYON SNOW CONSULTING, LLC",ALTA DEVICES,,2011-07-21T14:06:48.980000-04:00,2011
63d1a08b-29f1-4bd5-b614-519d0baacd06,DAVIS & HARMAN LLP,SUNRUN INC,,2011-08-10T09:35:08.240000-04:00,2011
00a862dc-17e3-4920-80a1-8b2143a58115,QUANEX BUILDING PRODUCTS CORPORATION,QUANEX BUILDING PRODUCTS CORPORATION,,2011-11-30T10:36:13-05:00,2011
da7bada5-b058-4d5d-81cb-f5697d81e297,WHEAT GOVERNMENT RELATIONS,SUNTECH AMERICA,,2011-12-05T14:12:35-05:00,2011
9891a042-a4ec-4b29-93ff-5b4f895e6cf6,"CANYON SNOW CONSULTING, LLC",ALTA DEVICES,,2012-01-24T12:22:37.980000-05:00,2011
f372f891-6a26-4a73-a74b-a6843eefd94c,ABENGOA SOLAR LLC,ABENGOA SOLAR LLC,,2012-04-02T17:06:04.603000-04:00,2012
e62f7878-33e1-490e-b696-d7caca36d64e,"MOFFETT GROUP, LLC",REPUBLIC SOLAR HIGHWAYS LLC,,2012-04-05T11:02:29.520000-04:00,2012
08abb06e-1ab4-45bd-8a3c-070db2fbfbcb,"SWF CONSULTING, L.L.C.","INTERCULTURE, INC.",,2012-05-09T11:08:09.220000-04:00,2012
092385ac-ce52-4866-aa06-726d3e65ede6,"ML STRATEGIES, LLC","NJ LAND, LLC",,2012-06-26T12:13:10.283000-04:00,2012
ee5fc52c-fda9-48b7-80c4-90bae69e3f00,"ML STRATEGIES, LLC","STRATA SOLAR, LLC",,2012-06-26T12:14:11.033000-04:00,2012
4e19d5ae-e8dc-4239-88f3-103a186460ff,"38 NORTH SOLUTIONS, LLC","SUNRUN, INC.",,2012-07-17T11:08:59.300000-04:00,2012
62d67940-d915-4b93-9852-23f0198476bd,"VAN NESS FELDMAN, LLP","BRIGHTSOURCE ENERGY, INC.",,2012-07-20T17:44:56.447000-04:00,2012
d5bc4861-810a-4771-ba02-8cd7cd81ed89,"VAN NESS FELDMAN, LLP","BRIGHTSOURCE ENERGY, INC.",,2012-07-30T15:32:05.710000-04:00,2012
da73fe69-73a6-4e62-909d-b6ef3a5f1511,"PODESTA GROUP, INC.",SOLARCITY,,2012-10-05T18:28:14.657000-04:00,2012
9eb11d6f-1044-4b7a-ab6c-1e1c98ee9759,"CAVAROCCHI RUSCIO DENNIS ASSOCIATES, L.L.C.",PROTEKPARK SOLAR,,2012-12-19T11:41:49.320000-05:00,2012
59f2eac2-040a-47db-925f-335278ce8d1b,"KOGOVSEK & ASSOCIATES, INC.",SOLARRESERVE,,2013-03-28T08:59:56.087000-04:00,2013
f0590465-6a17-4092-a753-b4ec83405b15,"BANNER PUBLIC AFFAIRS, LLC","BREWER SCIENCE, INC.",,2013-04-02T07:57:08.390000-04:00,2013
1d07b17e-f3ff-4215-85ca-242d3555a16a,"THE LIVINGSTON GROUP, LLC","SOITEC SOLAR, INC",,2013-05-15T17:57:27.797000-04:00,2013
1341bc9f-5e87-47bc-a281-66916689e208,"SWF CONSULTING, L.L.C.",LIVINGSTON GROUP ( ON BEHALF OF SOITEC),,2013-05-16T15:00:02.533000-04:00,2013
4a3d73db-4838-4c54-8c07-d1a45cbde34f,"RECURRENT ENERGY, LLC","RECURRENT ENERGY, LLC",,2013-10-18T19:06:33.650000-04:00,2013
7e9f375c-5de3-4071-b6ec-bd697e38451f,MONUMENT ADVOCACY,"BRIGHTSOURCE ENERGY, INC.",,2013-12-12T19:00:06.567000-05:00,2013
844b21be-abfe-4f5d-865c-8dd8a507bc01,GEPHARDT GROUP GOVERNMENT AFFAIRS,PLANETARY POWER,,2014-02-03T19:00:08.563000-05:00,2014
c3d5ac9f-bac6-4030-ac3e-53b9c4815e8f,ARENTFOX SCHIFF LLP,"TENASKA, INC.",,2014-02-12T19:00:05.327000-05:00,2014
59a05d50-ece0-4c6e-8681-768cde219806,LEVICK STRATEGIC COMMUNICATIONS,"TENASKA, INC.",,2014-03-06T13:00:04.587000-05:00,2014
648aae6d-e559-40f5-9fdc-8270fef4e2f3,"SQUIRE SANDERS PUBLIC ADVOCACY, LLC","LENNAR VENTURES, LLC",,2014-04-07T19:00:04.973000-04:00,2014
284a2044-2367-4f0a-a94b-362675dc4644,ALIGNMENT GOVERNMENT STRATEGIES,"TURNER ENTERPRISES, INC.",,2014-05-15T16:00:08.410000-04:00,2014
c50ba5f9-396c-4d83-9b04-dba1be69c697,SEMI (FKA SEMICONDUCTOR EQUIPMENT AND MATERIALS INTERNATIONAL),SEMI (FKA SEMICONDUCTOR EQUIPMENT AND MATERIALS INTERNATIONAL),,2014-06-05T13:00:12.067000-04:00,2007
b0dccceb-73e2-435d-8886-87116fe1190e,SQUIRE PATTON BOGGS,"LENNAR VENTURES, LLC",,2014-06-21T07:00:01.720000-04:00,2014
4d9556b8-492a-4667-ad25-4758ea3e516c,BLANK ROME GOVERNMENT RELATIONS,HERAEUS PRECIOUS METALS,,2014-07-14T16:01:02.477000-04:00,2014
cb375a74-7960-48e1-8d11-35f8ce7a5070,"ML STRATEGIES, LLC","SUNIVA, INC.",,2014-09-26T14:52:38-04:00,2014
3140ad0d-cea7-4393-9a75-f54d1ee31f32,"PODESTA GROUP, INC.",SUNEDISON,,2014-10-16T00:00:00-04:00,2014
6e50db82-1d1b-4af9-8c24-f694597af2ba,SUNRUN INC.,SUNRUN INC.,,2014-12-18T00:00:00-05:00,2014
1315d44f-568f-424c-8df6-835df58a4cf6,"JOHN T. DOOLITTLE, LLC","PV2 ENERGY, LLC",,2015-03-08T21:12:15-04:00,2015
e9fdf8c6-4193-416f-8da5-dd90cc498ec2,"RECURRENT ENERGY, LLC","RECURRENT ENERGY, LLC",,2015-04-20T13:48:37-04:00,2015
d49e4284-2819-440a-92b8-8ba7dfabf0ab,"38 NORTH SOLUTIONS, LLC",SUNEDISON (FORMERLY KNOWN AS FIRST WIND),,2015-04-20T14:18:27-04:00,2014
927aa20f-ffda-4c7e-9f9c-2fd150ee2932,"JOHN T. DOOLITTLE, LLC","PV2 ENERGY, LLC",,2015-06-10T16:39:17-04:00,2015
68802674-18de-41bf-a720-b21215199e35,"JOHN T. DOOLITTLE, LLC","PV2 ENERGY, LLC",,2015-06-10T17:16:48-04:00,2015
636ccb88-4b04-49e3-8753-9103e0150622,SQUIRE PATTON BOGGS,SOLAR ENERGY INDUSTRIES ASSOCIATION,,2015-07-14T11:54:50-04:00,2015
16ebf422-1156-4747-a794-4d9f613ddac4,"ALPINE GROUP PARTNERS, LLC.",FRANKLIN ELECTRIC,,2015-12-09T12:23:15-05:00,2015
7225fb26-0045-4376-bee8-0972b75a2550,WEST FRONT STRATEGIES LLC,SUNRUN INC.,,2016-03-09T12:31:44-05:00,2016
11524756-288e-46ff-8490-5b338c13ea27,WEST FRONT STRATEGIES LLC,TESLA INC,,2016-03-09T12:42:02-05:00,2016
