,0,1,2,3,4
fa715a0b-7f33-42f8-ab8b-a7a0dd3c93bc,"KADESH & ASSOCIATES, LLC",OAK CREEK ENERGY SYSTEMS INC.,,2011-01-27T16:10:47.340000-05:00,2011
4be68878-2a05-48dc-b0f8-72b0e7f320e3,ARNOLD & PORTER KAYE SCHOLER LLP,RH STRATEGIES,,2011-02-10T16:27:20.347000-05:00,2011
fc43d619-446f-4306-885a-b53a0446dfda,"AUX INITIATIVES, LLC",COASTAL POINT ENERGY LLC,,2012-03-08T17:20:06.587000-05:00,2012
8a3bf2c9-8160-4839-adb6-71ad0908f61d,"THE FERGUSON GROUP, LLC",AEROGEN,,2012-04-20T15:18:48.633000-04:00,2012
fdc2cdb2-e8f2-4b66-b2df-385cb1d8b9ac,"SIGNAL GROUP CONSULTING, LLC","GOLDWIND USA, INC.",,2012-07-19T10:46:20.297000-04:00,2012
8534b725-7513-426c-84d0-df74cd32b81f,ASHCROFT GROUP,AMERICAN WIND ENERGY ASSOCIATION,,2012-07-19T13:13:54.560000-04:00,2012
7e704f94-d7ff-4b80-96c9-867e079eae2b,"38 NORTH SOLUTIONS, LLC","GAMESA TECHNOLOGY CORPORATION, INC.",,2012-08-28T17:31:22.770000-04:00,2012
cc9aca4a-551c-4687-ae12-0676b5a13b2c,MR. JAIME STEVE,"INVENERGY, LLC",,2012-10-15T15:27:56.217000-04:00,2009
e2ee25c7-ae49-45e9-b868-ffcc9a3aae18,MS. VIRGINIA MAYER,CITY OF NEW BEDFORD,,2013-08-13T19:00:08.627000-04:00,2013
e2ee25c7-ae49-45e9-b868-ffcc9a3aae18,MS. VIRGINIA MAYER,CITY OF NEW BEDFORD,,2013-08-13T19:00:08.627000-04:00,2013
0fd5ce44-9d9b-426e-a3a3-69cc9042d992,MR. JAIME STEVE,"INVENERGY, LLC",,2013-10-17T16:04:09.950000-04:00,2013
b7d6ea15-11c5-4838-af5c-0b2285ea1eaa,"MCCLEES CONSULTING, INC.","BEAUFORT COUNTY, NC",,2013-10-31T19:00:09.810000-04:00,2013
e9ce66fa-c635-4a90-b332-e29635eb02f8,"MCCLEES CONSULTING, INC.","HYDE COUNTY, NC",,2013-10-31T19:00:12.430000-04:00,2013
284a2044-2367-4f0a-a94b-362675dc4644,ALIGNMENT GOVERNMENT STRATEGIES,"TURNER ENTERPRISES, INC.",,2014-05-15T16:00:08.410000-04:00,2014
2dbd92fa-98c0-4f42-a1d0-914a6f7b9602,"THE NICKLES GROUP, LLC","KOCH COMPANIES PUBLIC SECTOR, LLC",,2014-06-05T13:00:08.650000-04:00,2014
1c9089f5-33b9-4b9f-a2da-35fa5830daf0,"PODESTA GROUP, INC.","PULLMAN ROAD WIND POWER, LLC",,2014-11-19T18:46:34-05:00,2014
f1dadcef-d97f-4d93-a427-5b6b84359362,AMERICANS FOR PROSPERITY,AMERICANS FOR PROSPERITY,,2015-02-19T11:25:21-05:00,2015
f1dadcef-d97f-4d93-a427-5b6b84359362,AMERICANS FOR PROSPERITY,AMERICANS FOR PROSPERITY,,2015-02-19T11:25:21-05:00,2015
